epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.3521,2.17535,5.40798,1.81897,0.9542,0.83347,0.94562,0.55636,1.46665,2.8961,1.30592,0.00036,0.00036,0.00036
2,91.027,1.08776,1.00762,1.06099,0.9989,1,0.995,0.79288,0.75206,0.68291,0.92665,0.00071558,0.00071558,0.00071558
3,123.963,0.75343,0.70508,0.9521,0.02049,0.06,0.00476,0.0032,1.47859,5.45156,1.38503,0.00104608,0.00104608,0.00104608
4,152.481,0.68143,0.56489,0.90174,0.99818,1,0.995,0.91277,0.40683,0.55602,0.82032,0.0013515,0.0013515,0.0013515
5,189.792,0.63732,0.51761,0.90496,1,0.99836,0.995,0.90498,0.55344,0.83378,0.86742,0.00163184,0.00163184,0.00163184
6,223.564,0.63596,0.51613,0.88947,0.99437,0.98,0.97506,0.82784,0.53885,2.64921,0.85978,0.00167,0.00167,0.00167
7,256.172,0.58087,0.45059,0.87526,1,0.97601,0.99387,0.90224,0.48979,0.52254,0.84191,0.001604,0.001604,0.001604
8,288.936,0.53613,0.40357,0.86447,0.99332,0.92,0.96929,0.88869,0.39613,0.43593,0.82266,0.001538,0.001538,0.001538
9,316.94,0.51758,0.38176,0.85102,0.96647,0.6,0.63558,0.57725,0.66853,1.47552,1.04476,0.001472,0.001472,0.001472
10,344.374,0.49663,0.37928,0.86895,0.99875,1,0.995,0.93004,0.3365,0.28503,0.7947,0.001406,0.001406,0.001406
11,372.008,0.48152,0.3979,0.85899,0.99854,1,0.995,0.97017,0.2758,0.31549,0.77638,0.00134,0.00134,0.00134
12,399.347,0.41922,0.34013,0.83965,0.99812,1,0.995,0.96932,0.29297,0.47684,0.77637,0.001274,0.001274,0.001274
13,435.007,0.43147,0.35897,0.83686,0.99452,0.76,0.7572,0.74238,0.24365,0.39729,0.77345,0.001208,0.001208,0.001208
14,463.56,0.38288,0.30368,0.83385,0.99892,1,0.995,0.99374,0.22457,0.19611,0.77022,0.001142,0.001142,0.001142
15,494.654,0.39602,0.31861,0.83287,0.99893,1,0.995,0.995,0.19505,0.19,0.76459,0.001076,0.001076,0.001076
16,523.431,0.40565,0.32781,0.84427,0.99893,1,0.995,0.97981,0.227,0.21157,0.76897,0.00101,0.00101,0.00101
17,554.548,0.35733,0.28684,0.8296,0.99893,1,0.995,0.99241,0.22145,0.17333,0.76908,0.000944,0.000944,0.000944
18,585.346,0.35589,0.27979,0.82863,0.99891,1,0.995,0.99014,0.20638,0.1697,0.76715,0.000878,0.000878,0.000878
19,614.498,0.34416,0.2734,0.83223,0.9989,1,0.995,0.99206,0.20471,0.17273,0.76787,0.000812,0.000812,0.000812
20,642.527,0.3297,0.27917,0.81417,0.99889,1,0.995,0.995,0.19043,0.16571,0.76614,0.000746,0.000746,0.000746
21,671.045,0.26855,0.22963,0.81798,0.99887,1,0.995,0.995,0.16881,0.16221,0.76222,0.00068,0.00068,0.00068
22,698.696,0.23476,0.20903,0.79806,0.99894,1,0.995,0.995,0.17443,0.16305,0.76112,0.000614,0.000614,0.000614
23,726.075,0.22911,0.2032,0.77566,0.99896,1,0.995,0.99186,0.15445,0.14835,0.76017,0.000548,0.000548,0.000548
24,753.361,0.21435,0.18874,0.78472,0.99893,1,0.995,0.995,0.12884,0.1356,0.75604,0.000482,0.000482,0.000482
25,784.072,0.20352,0.18366,0.79154,0.99894,1,0.995,0.995,0.19909,0.15653,0.76494,0.000416,0.000416,0.000416
26,815.148,0.20138,0.18173,0.79417,0.99895,1,0.995,0.995,0.12719,0.13301,0.75475,0.00035,0.00035,0.00035
27,846.815,0.1928,0.17228,0.79568,0.99896,1,0.995,0.995,0.11517,0.12473,0.7544,0.000284,0.000284,0.000284
28,877.338,0.19355,0.17105,0.79201,0.99895,1,0.995,0.995,0.15795,0.12621,0.75901,0.000218,0.000218,0.000218
29,907.608,0.16744,0.15215,0.79031,0.99896,1,0.995,0.995,0.10947,0.11845,0.75325,0.000152,0.000152,0.000152
30,938.548,0.15376,0.14276,0.77053,0.99897,1,0.995,0.995,0.12324,0.11155,0.75502,8.6e-05,8.6e-05,8.6e-05
